""	"raton"	"radiacion"	"dieta"	"area"
"1"	1	0	"estandar"	0.48
"2"	2	0	"estandar"	2.1
"3"	3	0	"estandar"	0.47
"4"	4	0	"estandar"	1.05
"5"	5	0	"estandar"	1.67
"6"	6	0	"rica en grasas"	3.37
"7"	7	0	"rica en grasas"	2.43
"8"	8	0	"rica en grasas"	1.56
"9"	9	0	"rica en grasas"	3.02
"10"	10	0	"rica en grasas"	2.22
"11"	11	4	"estandar"	1.06
"12"	12	4	"estandar"	0.59
"13"	13	4	"estandar"	2.3
"14"	14	4	"estandar"	2.66
"15"	15	4	"estandar"	1.23
"16"	16	4	"rica en grasas"	5.11
"17"	17	4	"rica en grasas"	5.25
"18"	18	4	"rica en grasas"	4.71
"19"	19	4	"rica en grasas"	4.09
"20"	20	4	"rica en grasas"	5.17
"21"	21	8	"estandar"	3.47
"22"	22	8	"estandar"	3.81
"23"	23	8	"estandar"	2.32
"24"	24	8	"estandar"	2.63
"25"	25	8	"estandar"	3.43
"26"	26	8	"rica en grasas"	8.22
"27"	27	8	"rica en grasas"	7.57
"28"	28	8	"rica en grasas"	6.76
"29"	29	8	"rica en grasas"	7.78
"30"	30	8	"rica en grasas"	6.78
"31"	31	12	"estandar"	4.11
"32"	32	12	"estandar"	3.39
"33"	33	12	"estandar"	3.45
"34"	34	12	"estandar"	2.14
"35"	35	12	"estandar"	3.05
"36"	36	12	"rica en grasas"	9.91
"37"	37	12	"rica en grasas"	11.41
"38"	38	12	"rica en grasas"	9.7
"39"	39	12	"rica en grasas"	11.05
"40"	40	12	"rica en grasas"	9.43
"41"	1	0	"estandar"	0.365
"42"	2	0	"estandar"	2.42
"43"	3	0	"estandar"	1.26
"44"	4	0	"estandar"	1.09
"45"	5	0	"estandar"	1.93
"46"	6	0	"rica en grasas"	4.45
"47"	7	0	"rica en grasas"	2.02
"48"	8	0	"rica en grasas"	1.21
"49"	9	0	"rica en grasas"	2.78
"50"	10	0	"rica en grasas"	1.23
"51"	11	4	"estandar"	1.27
"52"	12	4	"estandar"	0.39
"53"	13	4	"estandar"	2.89
"54"	14	4	"estandar"	2.84
"55"	15	4	"estandar"	1.89
"56"	16	4	"rica en grasas"	4.53
"57"	17	4	"rica en grasas"	4.12
"58"	18	4	"rica en grasas"	4.82
"59"	19	4	"rica en grasas"	4.16
"60"	20	4	"rica en grasas"	5.59
"61"	21	8	"estandar"	4
"62"	22	8	"estandar"	3.89
"63"	23	8	"estandar"	1.22
"64"	24	8	"estandar"	2.36
"65"	25	8	"estandar"	2.97
"66"	26	8	"rica en grasas"	9.29
"67"	27	8	"rica en grasas"	7.76
"68"	28	8	"rica en grasas"	8
"69"	29	8	"rica en grasas"	6.99
"70"	30	8	"rica en grasas"	5.34
"71"	31	12	"estandar"	4.62
"72"	32	12	"estandar"	3.57
"73"	33	12	"estandar"	2.97
"74"	34	12	"estandar"	0.72
"75"	35	12	"estandar"	0.98
"76"	36	12	"rica en grasas"	11.47
"77"	37	12	"rica en grasas"	11.1
"78"	38	12	"rica en grasas"	10.21
"79"	39	12	"rica en grasas"	11.7
"80"	40	12	"rica en grasas"	9.14
